Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,300,270,161,21043,1202.27,100.000%,7.17034,3.64,1.81,519.5
TOTAL,300,270,161,21043,1202.27,100.000%,7.17034,3.64,1.81,519.5
