Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,2889,436,158,21058,2283.49,100.000%,36.19847,19.35,9.75,547.3
TOTAL,2889,436,158,21058,2283.49,100.000%,36.19847,19.35,9.75,547.3
