Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,100,206,163,705,70.75,100.000%,2.89318,1.42,0.67,502.0
TOTAL,100,206,163,705,70.75,100.000%,2.89318,1.42,0.67,502.0
